Depart date,Return date,Outbound Origin,Outbound Destination,Outbound Departure time,Outbound Arrival time,Outbound Duration,Return Origin,Return Destination,Return Departure time,Return Arrival time,Return Duration,Price
2024-11-06,2025-01-15,LHR,ICN,17:40,16:50,14 hours 10 minutes,ICN,LHR,10:40,17:50,16 hours 10 minutes,£658.87
2024-11-06,2025-01-15,LGW,ICN,16:55,18:20,16 hours 25 minutes,ICN,LHR,09:35,21:05,20 hours 30 minutes,£638.05
2024-11-06,2025-01-15,LGW,ICN,16:55,18:20,16 hours 25 minutes,ICN,LGW,09:35,21:30,20 hours 55 minutes,£638.05
2024-11-06,2025-01-15,LGW,ICN,10:30,11:55,16 hours 25 minutes,ICN,LGW,18:25,06:30,21 hours 5 minutes,£573.44
2024-11-06,2025-01-15,LHR,ICN,21:00,20:45,14 hours 45 minutes,ICN,LGW,18:25,06:30,21 hours 5 minutes,£599.23
2024-11-07,2025-01-15,LHR,ICN,18:50,16:15,12 hours 25 minutes,ICN,LHR,10:40,16:30,14 hours 50 minutes,£871.39
2024-11-07,2025-01-15,LHR,ICN,17:35,17:10,14 hours 35 minutes,ICN,LHR,12:15,21:25,18 hours 10 minutes,£708.89
2024-11-07,2025-01-15,LHR,ICN,17:40,16:50,14 hours 10 minutes,ICN,LHR,10:40,17:50,16 hours 10 minutes,£654.37
2024-11-07,2025-01-15,LHR,ICN,18:50,14:50,11 hours 0 minutes,ICN,LHR,13:00,16:30,12 hours 30 minutes,£1012.59
2024-11-07,2025-01-15,LHR,ICN,09:00,10:10,16 hours 10 minutes,ICN,LHR,12:15,21:25,18 hours 10 minutes,£678.89
2024-11-07,2025-01-15,LGW,ICN,06:00,09:05,18 hours 5 minutes,ICN,LHR,09:35,21:05,20 hours 30 minutes,£615.33
2024-11-07,2025-01-15,LHR,ICN,18:50,16:15,12 hours 25 minutes,ICN,LHR,13:00,16:30,12 hours 30 minutes,£999.03
2024-11-07,2025-01-15,LGW,ICN,06:00,09:05,18 hours 5 minutes,ICN,LGW,09:35,21:30,20 hours 55 minutes,£615.33
